beta_3y_mthly,change,market_cap,name,one_yr_target_est,pe_ratio,perc_change,price,symbol,volume,volume_3_mth_avg
0.95,+0.82,4.101B,"LogMeIn, Inc.",92.20,57.77,+1.01%,82.04,LOGM,1.08M,"823,904"
0.44,+0.31,4.137B,"Premier, Inc.",43.72,,+0.98%,31.97,PINC,1.164M,"806,659"
0.76,+0.02,601.245M,"MobileIron, Inc.",6.00,,+0.36%,5.63,MOBL,"228,851","737,140"
1.73,-0.24,605.315M,"Cohu, Inc.",22.50,,-1.59%,14.83,COHU,"226,482","280,580"
1.65,-0.13,607.63M,Veeco Instruments Inc.,14.75,,-1.02%,12.65,VECO,"175,197","327,516"
N/A,-0.32,623.192M,"i3 Verticals, Inc.",26.80,172.92,-1.33%,23.69,IIIV,"48,148","92,103"
0.77,-0.07,628.943M,"Photronics, Inc.",13.50,16.12,-0.74%,9.38,PLAB,"221,716","651,580"
0.44,-0.39,629.85M,ChipMOS TECHNOLOGIES INC.,20.00,41.45,-2.19%,17.41,IMOS,"7,730","14,216"
-0.11,-0.01,656.958M,"QuinStreet, Inc.",19.65,9.68,-0.08%,13.19,QNST,"344,788","858,054"
1.42,-0.05,656.994M,"TrueCar, Inc.",8.95,,-0.79%,6.25,TRUE,"580,320",1.006M
1.08,-0.12,658.658M,"Vivint Solar, Inc.",8.15,,-2.14%,5.48,VSLR,"427,505","648,274"
1.07,-0.16,711.355M,"Axcelis Technologies, Inc.",27.00,16.05,-0.73%,21.67,ACLS,"63,642","206,401"
N/A,-0.47,714.576M,Tufin Ltd.,N/A,,-2.09%,22.03,TUFN,"383,960",2.111M
1.07,-2.38,722.077M,Formula Systems (1985) Ltd.,N/A,22.35,-4.76%,47.61,FORTY,242,175
2.98,0.00,746.284M,"JinkoSolar Holding Co., Ltd.",16.47,14.79,0.00%,19.03,JKS,"494,989",1.143M
N/A,-0.07,757.237M,Huami Corporation,18.08,18.11,-0.56%,12.53,HMI,"82,590","267,050"
1.00,+0.31,756.641M,"Rudolph Technologies, Inc.",26.40,17.47,+1.28%,24.46,RTEC,"183,842","156,958"
N/A,-0.13,722.909M,CooTek (Cayman) Inc.,11.88,75.80,-1.13%,11.37,CTK,"9,715","92,374"
1.43,-0.57,782.408M,Nanometrics Incorporated,35.00,13.63,-1.76%,31.89,NANO,"99,094","196,175"
0.43,+0.01,788.359M,Ituran Location and Control Ltd.,41.00,12.07,+0.03%,36.94,ITRN,"68,635","46,830"
1.81,+2.04,792.62M,"ADTRAN, Inc.",15.25,,+14.02%,16.59,ADTN,2.003M,"365,724"
N/A,+0.01,797.055M,"Casa Systems, Inc.",12.67,12.05,+0.11%,9.52,CASA,1.166M,"510,732"
1.22,-0.04,801.791M,Nova Measuring Instruments Ltd.,31.33,15.20,-0.14%,28.72,NVMI,"97,045","86,422"
0.23,-0.09,803.71M,Changyou.com Limited,19.27,9.80,-0.58%,15.49,CYOU,"75,642","168,169"
1.01,-0.07,818.508M,Monotype Imaging Holdings Inc.,25.33,71.15,-0.34%,20.35,TYPE,"167,567","266,903"
1.19,-0.10,833.071M,QAD Inc.,52.00,64.29,-0.32%,31.50,QADB,10,"1,062"
